publisher_name_raw,publisher_name_cleaned
"Vleminckx, Henri","Vleminckx, Henri"
"E. Plon, Nourrit et Cie, imprimeurs-éditeurs","E. Plon, Nourrit & Cie"
"Buschmann, Joseph-Ernest","Buschmann, Joseph-Ernest"
Marchands de nouveautés,Marchands De Nouveautés
Librairie Nouvelle,Librairie Nouvelle
El Mensajero del corazon de Jesus,El Mensajero Del Corazon De Jesus
"Jouret et Thémon, E.","Jouret & Thémon, E."
Kommissionsverlag der Fr. Lintz'schen Buchhandlung,Kommissionsverlag Der Fr. Lintz'Schen Buchhandlung
C. Marpon et E. Flammarion,C. Marpon & E. Flammarion
Perrin et Cie,Perrin & Cie
"Stéven, A. B.","Stéven, A. B."
Savy,Savy
Galerie Georges Petit,Galerie Georges Petit
"Van Meenen, François","Van Meenen, François"
Imprimerie A. Parent,Imprimerie A. Parent
C. Annoot-Braeckman,C. Annoot-Braeckman
Lacoste,Lacoste
De Seyn-Verhougstraete,De Seyn-Verhougstraete
I. Vanderpoorten,I. Vanderpoorten
A La Liberté,A La Liberté
"Vanbuggenhoudt, J.","Vanbuggenhoudt, J."
John Murray,John Murray
Pickering,Pickering
"Fricx, Eugène-Henri","Fricx, Eugène-Henri"
Salviucci,Salviucci
"Guyot, E.","Guyot, E."
Natale Battezzati,Natale Battezzati
John Maclaren,John Maclaren
Dauvin et Fontaine,Dauvin & Fontaine
Siegfried Cronbach,Siegfried Cronbach
Hector Bossange,Hector Bossange
Hayez,Hayez
Maire-Nyon,Maire-Nyon
"Heideloff, Charles","Heideloff, Charles"
Lefebvre-Duquenne,Lefebvre-Duquenne
"Longman, Hurst, Rees, Orme & Brown","Longman, Hurst, Rees, Orme & Brown"
Tipografia dentro la pietà de Turchini,Tipografia Dentro La Pietà De Turchini
"Legros, J.J.","Legros, J.J."
Fr. Beck's Universitäts-Buchhandlung,Fr. Beck'S Universitäts-Buchhandlung
"Rooses, Max","Rooses, Max"
"J. B. Istas, imprimeur-éditeur",J. B. Istas
"Pepermans, Jan","Pepermans, Jan"
Ferdinand Larcier,Ferdinand Larcier
Lemerre,Lemerre
Vasseur-Delmée,Vasseur-Delmée
Barba,Barba
"Baudry, libreria europea","Baudry, Libreria Europea"
Bouserez,Bouserez
H.D. Tjeenk Willink,H.D. Tjeenk Willink
"Biénez, F.","Biénez, F."
"Beyaert, Karel","Beyaert, Karel"
Mme Veuve Charles-Béchet,Mme Veuve Charles-Béchet
"Baillière, J. B.","Baillière, J. B."
Bruylant-Christophe et Cie,Bruylant-Christophe & Cie
"Le Prieur, F.","Le Prieur, F."
Imprimerie A. Mertens et Fils,Imprimerie A. Mertens & Fils
Société des bibliophiles de Reims,Société Des Bibliophiles De Reims
F.C.W. Vogel,F.C.W. Vogel
"Hoste, Adolphe Joseph","Hoste, Adolphe Joseph"
Ernest Leroux,Ernest Leroux
"Hayez, Frédéric-Maximilien","Hayez, Frédéric-Maximilien"
J. F. Richter,J. F. Richter
"Rongier, H.","Rongier, H."
P.J. Hanicq,P.J. Hanicq
Gebroeders Callewaert,Gebroeders Callewaert
Librairie des bibliophiles,Librairie Des Bibliophiles
Eduard Weber,Eduard Weber
"Éditions de ""L'humanité Nouvelle""",Éditions De L'Humanité Nouvelle
Librairie Hachette et Cie,Librairie Hachette & Cie
J. B. Tircher,J. B. Tircher
"Lagrange, Thérèse","Lagrange, Thérèse"
Graß & Barth,Graß & Barth
Desclée De Brouwer et Cie,Desclée De Brouwer & Cie
M. Hayez,M. Hayez
Aulica Waltheria,Aulica Waltheria
Fasquelle [Eugène],Fasquelle
Alfred Castaigne,Alfred Castaigne
Balon-Vincent,Balon-Vincent
Ludw. Fried. Fues,Ludw. Fried. Fues
Voghera Carlo,Voghera Carlo
"Belin, Auguste-Pierre","Belin, Auguste-Pierre"
Mme Huzard,Mme Huzard
Breitkopf & Härtel,Breitkopf & Härtel
"Durand, Auguste","Durand, Auguste"
"Allier, F.","Allier, F."
D.-C. Marin-Noefnet,D.-C. Marin-Noefnet
librairie de Ch. Meyrueis et Ce,Librairie De Ch. Meyrueis & Ce
Bruck,Bruck
Imprimerie de F. Hayez,Imprimerie De F. Hayez
L. Hebbelynck,L. Hebbelynck
Ferdinand Schröningh,Ferdinand Schröningh
Ad. Westmael-Charlier,Ad. Westmael-Charlier
Imprimerie Cadoret,Imprimerie Cadoret
[s.n.],Unknown
Henninger frères,Henninger Frères
"Égron, Adrien-César","Égron, Adrien-César"
Société Belge de Librairie,Société Belge De Librairie
"L. & H. Casterman, Editeurs pontificaux et imprimeurs de l'évèché",L. & H. Casterman
Tipografii Imperatorskikhʹ Teatrovʹ,Tipografii Imperatorskikhʹ Teatrovʹ
"Gartman, Hendrik","Gartman, Hendrik"
"Weissenbruch, P.","Weissenbruch, P."
"Samuel, Henri","Samuel, Henri"
Méquignon-Marvis,Méquignon-Marvis
Fischbacher,Fischbacher
Ernest Thorin,Ernest Thorin
H. Dessain,H. Dessain
Marchant,Marchant
"Hoste, H.","Hoste, H."
E. Guyot,E. Guyot
Tanera Ch.,Tanera Ch.
Imprimerie de Madame Veuve Poussin,Imprimerie De Madame Veuve Poussin
Calmann-Lévy,Calmann-Lévy
J. Rothschild,J. Rothschild
Imprimerie de Mallet-Bachelier,Imprimerie De Mallet-Bachelier
Claeys-Weghsteen,Claeys-Weghsteen
"Huyghe, Guillaume-Ferdinand","Huyghe, Guillaume-Ferdinand"
"Dentu, J. G.","Dentu, J. G."
"Giard, V., & Emile Brière","Giard, V., & Emile Brière"
