book_id,title,year,country_code,country_name
12163581,Obst-und Trauben-Ausstellung Die Württembergische in Canstatt in Vérbindung mit dem landwirthschaftlichen Feste veranstaltet von der Königl Centralstelle für die Landwirtschaft 1852,1852,gw,Germany
11528967,Anneessens,1870,be,Belgium
12021785,The Austin-Topolovampo,1875,xx,Unknown
22169951,La Logica,1880,it,Italy
11677526,Économie politique et sociale,1865,be,Belgium
13672019,Les accidents du travail,1900,fr,France
11338323,Historisch-romantische tafercelen en dichterlyke schetsen uit de geschiedenis van Belgie,1862,be,Belgium
11484566,Premières leçons de géométrie à l'usage des écoles primaires,1876,be,Belgium
13249372,Mes souvenirs sur Napoléon,1893,fr,France
11835009,Calculateur général de la solde proprement dite et de la masse d'habillement,1880,be,Belgium
11705027,Les chemins de fer en Belgique,1882,be,Belgium
13431121,La Napoliade,1895,fr,France
12000506,Recherches sur les épopées romanesques des Troubadours,1833,fr,France
13621021,Histoire de la constitution de la ville de Louvain au moyen âge,1892,be,Belgium
12530677,Les traditions indo-asiatiques,1876,fr,France
22166460,Discours de réception de M.J-B Dumas,1876,fr,France
22431064,Napoléon III,1898,fr,France
22318851,Cours de droit civil professé à l'université de Liège,1893,be,Belgium
13032985,La France en 1850,1850,fr,France
11546837,"Etudes sur la vie et les mémoires de Philippe de Commines, Seigneur d'Argenton",1870,pl,Poland
12002043,Nouvelles recherches sur la fête des Innocents et la fête des Fous qui se faisaient dans les églises et notamment dans celle de Sens,1853,fr,France
12811648,Een reus,1900,be,Belgium
22279769,Une ascension aérostatique à Mons,1845,be,Belgium
22189337,Les puits artésiens de la Flandre,1884,be,Belgium
11488969,The adventures of my grandfather,1867,xxk,United Kingdom
13398939,Revue des patois gallo-romans,1887,sz,Switzerland
11453740,"The life, letters, and friendships of Richard Monckton Milnes, first Lord Houghton",1890,xxk,United Kingdom
11453740,"The life, letters, and friendships of Richard Monckton Milnes, first Lord Houghton",1890,fr,France
12174683,Robrecht van Eine of misdaad en liefde,1891,be,Belgium
11936293,Château de la Motte-au-Bois,1843,fr,France
11248030,Dépopulation et puériculture,1901,fr,France
