book_id,title,year,language,publisher_name_cleaned,period
12163581,Obst-und Trauben-Ausstellung Die Württembergische in Canstatt in Vérbindung mit dem landwirthschaftlichen Feste veranstaltet von der Königl Centralstelle für die Landwirtschaft 1852,1852,ger,Blum Und Bogel,1831-1860
11528967,Anneessens,1870,fre,,1861-1890
12021785,The Austin-Topolovampo,1875,eng,,1861-1890
22169951,La Logica,1880,ita,,1861-1890
11677526,Économie politique et sociale,1865,fre,,1861-1890
13672019,Les accidents du travail,1900,fre,"Giard, V., & Emile Brière",1891-1901
11338323,Historisch-romantische tafercelen en dichterlyke schetsen uit de geschiedenis van Belgie,1862,dut,"Dela Montagne, Victor Alexis",1861-1890
11338323,Historisch-romantische tafercelen en dichterlyke schetsen uit de geschiedenis van Belgie,1862,dut,"Mienikus, M.",1861-1890
11484566,Premières leçons de géométrie à l'usage des écoles primaires,1876,fre,Bruylant-Christophe & Cie,1861-1890
13249372,Mes souvenirs sur Napoléon,1893,fre,,1891-1901
11835009,Calculateur général de la solde proprement dite et de la masse d'habillement,1880,fre,,1861-1890
11705027,Les chemins de fer en Belgique,1882,fre,"Guyot, E.",1861-1890
13431121,La Napoliade,1895,fre,,1891-1901
12000506,Recherches sur les épopées romanesques des Troubadours,1833,fre,,1831-1860
13621021,Histoire de la constitution de la ville de Louvain au moyen âge,1892,fre,,1891-1901
12530677,Les traditions indo-asiatiques,1876,fre,Librairie Internationale A. Lacroix & Cie,1861-1890
22166460,Discours de réception de M.J-B Dumas,1876,fre,Didier & Cie,1861-1890
22431064,Napoléon III,1898,fre,,1891-1901
22318851,Cours de droit civil professé à l'université de Liège,1893,fre,,1891-1901
13032985,La France en 1850,1850,fre,,1831-1860
11546837,"Etudes sur la vie et les mémoires de Philippe de Commines, Seigneur d'Argenton",1870,fre,,1861-1890
12002043,Nouvelles recherches sur la fête des Innocents et la fête des Fous qui se faisaient dans les églises et notamment dans celle de Sens,1853,fre,,1831-1860
12811648,Een reus,1900,dut,Demarteau-Thys & Zoon,1891-1901
22279769,Une ascension aérostatique à Mons,1845,fre,,1831-1860
22189337,Les puits artésiens de la Flandre,1884,fre,,1861-1890
11488969,The adventures of my grandfather,1867,eng,,1861-1890
13398939,Revue des patois gallo-romans,1887,fre,,1861-1890
11453740,"The life, letters, and friendships of Richard Monckton Milnes, first Lord Houghton",1890,eng,Cassel & Co,1891-1901
12174683,Robrecht van Eine of misdaad en liefde,1891,dut,A. Siffer,1891-1901
11936293,Château de la Motte-au-Bois,1843,fre,,1831-1860
11248030,Dépopulation et puériculture,1901,fre,Fasquelle,1891-1901
13586687,Die Entstehung des socialen Problems,1898,ger,,1891-1901
13600878,Documents historiques sur le comté et la ville de Dreux,1859,fre,Garnier,1831-1860
12244336,Regio decreto contenente dispozioni per la istituzione delle scuole maschite di femminilli  nelle Provincie Venete,1867,ita,Stamperia Reale,1861-1890
11612112,Dictionnaire résumé des droit d'enregistrement,1880,fre,Ferdinand Larcier,1861-1890
11765643,Pourquoi un plebiscite?,1871,fre,,1861-1890
11817807,Vlaemsche Commissie,1859,dut,,1831-1860
12550663,Les anomalies musculaires chez l'homme,1884,fre,G. Masson,1861-1890
11314964,Notice historique sur Zuydcoole,1855,fre,,1831-1860
13448678,"L'arithmétique élémentaire, traitée simplement",1833,fre,,1831-1860
11359276,Pensées et Opuscules,1900,fre,Librairie Hachette & Cie,1891-1901
11898513,"Questions posées dans les concours de l'enseignement primaire et aux examens d'admission de diverses écoles normales, recueillies et mises en ordre",,fre,D.-C. Marin-Noefnet,
12044914,"Memorial of Nahum Capen, of Boston, Massachusetts, on the subject of International Copyright",1844,eng,,1831-1860
12291506,Guide théorique et pratique pour la rédaction des déclarations de succession et la liquidation des droits,1893,fre,Dufrane-Friart,1891-1901
11571751,"De twee vondelingen, drama in vijf bedrijven",1878,dut,,1861-1890
11596622,Du pouvoir Spirituel dans ses rapports avec l'état,1844,fre,,1831-1860
11963866,Bollendorf et ses environs,,fre,,
22366484,Valores Postales Argentinos,1898,spa,,1891-1901
12249033,Doctor Nobiling und seine Lehrmeister,1879,ger,Alfred Muller,1861-1890
