book_id,publisher_name,source_field
12163581,Blum und Bogel,720
13672019,"Giard, V., & Emile Brière",710
11338323,"Dela Montagne, Victor Alexis",100
11338323,"Mienikus, M.",700
11484566,Bruylant-Christophe et Cie,710
11705027,"Guyot, E.",700
12530677,Librairie Internationale A. Lacroix et Cie,710
22166460,Didier et Cie,710
12811648,Demarteau-Thys & Zoon,710
11453740,Cassel & Co,710
12174683,A. Siffer,110
11248030,Fasquelle [Eugène],710
13600878,Garnier,710
12244336,Stamperia Reale,710
11612112,Ferdinand Larcier,710
12550663,G. Masson,710
11359276,Librairie Hachette et Cie,710
11898513,D.-C. Marin-Noefnet,720
12291506,Dufrane-Friart,710
12249033,Alfred Muller,720
12462123,Perrin & Cie,710
11284879,J. F. Richter,710
11901998,Charles Allardin,710
13532901,"Imprimerie de Lambin, fils",710
11653950,Weissenbruch,710
13028249,Librairie Classique de L. Hachette,710
12445844,"Hoste, Adolphe Joseph",700
12141073,Garnier,700
13508368,Imprensa Nacional,710
11811190,Librairie de Guillaumin et Cie,710
11554054,H. Manceaux,710
13250926,Pickering,710
18229749,L. J. de Cort,710
12567490,A.I. Mamontov,720
11780203,"Hoste, Adolphe Joseph",700
11625432,Imprimerie de J.-H. Dehou,710
11282214,J. F. Richter,710
11620338,H. Tarlier (Bruxelles),110
22399230,"Beyaert, Karel",700
12154450,Charles Lelong,710
12144169,Alliance Typographique,710
13474819,Drukkery van Korn,720
12698433,Henninger frères,710
11720225,Em. Devroye & Cie,710
12436839,Bruylant-Christophe et Cie,710
12131791,Librairie des bibliophiles,710
11586596,Eduard Weber,720
13308643,A. Decq,710
11756111,Ferdinand Schröningh,720
11941261,Librairie universelle de J. Rozez,710
12506787,Weidmannsche Buchhandlung,710
13471807,Richard Barrett,110
12057087,Sansoni,710
13558225,Ludw. Fried. Fues,720
13706653,Druck von Julius Abel,710
11337874,"Van Velsen, E.-F.",700
22070468,G. Jonghaus,720
12852240,Claeys-Weghsteen,710
11539582,H. Vaillant-Carmanne,710
11917048,Ad. Wesmael-Charlier,710
11983077,Ernest Leroux,710
11821325,Schweizerbat'sche verlagshandlung und druckerei,720
12485658,Gebroeders Belinfante,710
11852694,Imprimerie Impériale,710
13014045,Alfred Mame et fils,720
12133634,"Société Saint-Augustin, Desclée, De Brouwer et Cie",710
13456166,Friedrich Vieweg & Sohn,710
11590034,Typographie de D. Aug. Peeters-Ruelens,710
11630744,Dirix,720
14989134,"Flon, Emmanuel",700
13356738,Imprimerie Cadoret,720
11357452,Edinger,710
13011627,Imperial printing-office,720
13496940,Librairie de L. Hachette et Cie,710
12489264,Gebroeders Callewaert,720
12567417,Eric Biornström,720
11736212,D.B. Centen,710
13257742,"Mauke, Friedrich",700
12012012,Garnier Frères,710
13701205,"Stock, P.-V.",710
12863968,I. Vanderpoorten,110
12588188,C. Marpon et E. Flammarion,710
11896972,"Hoste, Adolphe Joseph",700
11903636,"S. Leliaert, A. Siffer & co",710
