city_name_raw,city_name_cleaned
Santiago de Chilé,Santiago de Chilé
Halle,Halle
Brugge,Brugge
Amsterdam,Amsterdam
Chalons-sur-Marne,Chalons-sur-Marne
Purmerende,Purmerende
Strasbourg,Strasbourg
Courtrai,Courtrai
Avignon,Avignon
Valence,Valence
Marburg,Marburg
Tokio,Tokio
Fontenay-le-Comte,Fontenay-le-Comte
Auxerre,Auxerre
Zürich,Zürich
Keulen,Keulen
Aalst,Aalst
Bruges,Bruges
A Bruxelles,Bruxelles
[Roma],Roma
Agen,Agen
Ath,Ath
Moscou,Moscou
Tolosa,Tolosa
Lierre,Lierre
Spa,Spa
Leiden,Leiden
Marburgi-Cattorum,Marburgi-Cattorum
[Italië?],Italië
[Paris?],Paris
Venetië,Venetië
Nürnberg,Nürnberg
Brussels,Brussels
Bruxellae,Bruxellae
Milano,Milano
Mechelen,Mechelen
Lisboa,Lisboa
et se vend a Bruxelles,Bruxelles
Parisiis,Paris
Verona,Verona
Alais,Alais
Anvers,Anvers
Dijon,Dijon
[Gent],Gent
St Ghislain,St Ghislain
St. Petersburg,St. Petersburg
Melano,Melano
Praga,Praga
Falaise,Falaise
Lipsiae,Lipsia
St-Vallier,St-Vallier
Leyden,Leyden
Bourg,Bourg
Namur,Namur
Kopenhagen,Kopenhagen
St-Pétersbourg,St-Pétersbourg
Lausanne,Lausanne
St.-Pétersbourg,St.-Pétersbourg
Coimbra,Coimbra
Rousselare,Rousselare
Cassel,Cassel
Helsingfors,Helsingfors
Melbourne,Melbourne
Modena,Modena
Montevideo,Montevideo
Ieper,Ieper
Tongeren,Tongeren
Francofurti ad Maenum,Francofurti Ad Maenum
Weimar,Weimar
Breslau,Breslau
Bois-le-Duc,Bois-le-Duc
Leuven,Leuven
Burnoes Aires,Burnoes Aires
Tot Brussel,Brussel
Cambrai,Cambrai
Louvain,Louvain
[Bruges?],Bruges
Amstelodami,Amstelodami
Rotterdam,Rotterdam
Essen,Essen
Metz,Metz
[Bruxelles,Bruxelles
Glasgow,Glasgow
Barcelona,Barcelona
Hannover,Hannover
Karlsruhe,Karlsruhe
Caen,Caen
Genève,Genève
Wien,Wien
Greifswald,Greifswald
Frameries,Frameries
Pest,Pest
Padua,Padua
Padova,Padova
Tournay,Tournay
et se trouve a Bruxelles,Bruxelles
Pisa,Pisa
Bruxellis,Bruxelles
(Belgique),Belgique
Dendermonde,Dendermonde
Orléans,Orléans
Peruwelz,Peruwelz
Châlons-sur-Marne,Châlons-sur-Marne
[Anvers],Anvers
Oxford,Oxford
Madrid,Madrid
Rousselaere,Rousselaere
[Lieu de publication non identifié],Unknown
Marseille,Marseille
Toulouse,Toulouse
Amiens,Amiens
Neuchatel,Neuchatel
Kasan,Kasan
Napoli,Napoli
Besançon,Besançon
Saint-Amand,Saint-Amand
Aachen,Aachen
Lyon,Lyon
Hasselt,Hasselt
Ruremonde,Ruremonde
[Plaats van uitgave niet geïdentificeerd],Unknown
[Bruxelles?],Bruxelles
Ostende,Ostende
Versailles,Versailles
Lille,Lille
[Lille?],Lille
et se trouve à Bruxelles,Bruxelles
Valenciennes,Valenciennes
Verviers,Verviers
Tournai,Tournai
Freiberg,Freiberg
Antwerpen,Antwerpen
Abbeville,Abbeville
Brussel,Brussel
Paris,Paris
Douai,Douai
Bonn,Bonn
Palermo,Palermo
Cherbourg,Cherbourg
Ixelles-lez-Bruxelles,Ixelles-lez-Bruxelles
Vitoria,Vitoria
Londen,Londen
Echternach,Echternach
Méjico,Méjico
Lier,Lier
St Pétersbourg,St Pétersbourg
En Brabant,Brabant
Prato,Prato
Philadelphia,Philadelphia
[Salzbourg,Salzbourg
Gotha,Gotha
Viennae,Viennae
Heilbronn,Heilbronn
St Gallen,St Gallen
Carpentras,Carpentras
Roma,Roma
Rio de Janeiro,Rio de Janeiro
Ancona,Ancona
Liegnitz,Liegnitz
Poitiers,Poitiers
Stuttgart,Stuttgart
Washington,Washington
Rouen,Rouen
Trier,Trier
Berlin,Berlin
Mexico,Mexico
Mons,Mons
Erlangen,Erlangen
Tours,Tours
[Bruxelles],Bruxelles
Laon,Laon
A Ostende,Ostende
Rome,Rome
Rostock,Rostock
Dresde,Dresde
Trieste,Trieste
Torino,Torino
Malines,Malines
Ludwigsburg,Ludwigsburg
Yperen,Yperen
Bologna,Bologna
Reims,Reims
Arnhem,Arnhem
Paderborn,Paderborn
Firenze,Firenze
's Gravenhage?,'S Gravenhage
Braunschweig,Braunschweig
Mechliniae,Mechlinia
Edinburgh,Edinburgh
Roulers,Roulers
Mézières,Mézières
Charleroi,Charleroi
Pamplona,Pamplona
Romae,Roma
Hamburg,Hamburg
Clermont,Clermont
Clermont-Ferrand,Clermont-Ferrand
(Anvers,Anvers
Boston,Boston
Chartres,Chartres
Montpellier,Montpellier
Freiburg im Breisgau,Freiburg Im Breisgau
En Brucelas,Brucelas
Huy,Huy
[Belgique],Belgique
Grenoble,Grenoble
Budapest,Budapest
Jena,Jena
'Sgravenhage,'Sgravenhage
Luik,Luik
Lima,Lima
Arlon,Arlon
Batavia,Batavia
(Paris,Paris
Braine-le-Comte,Braine-le-Comte
Digne,Digne
[Place of publication not identified],Unknown
[Bruxelles?,Bruxelles
Gent,Gent
Dunkerque,Dunkerque
Bilbao,Bilbao
Ypres,Ypres
Nancy,Nancy
Heidelberg,Heidelberg
Middelburg,Middelburg
Cassellis,Cassellis
Tübingen,Tübingen
Norrkoeping,Norrkoeping
Hannoverae,Hannover
London,London
[Plaats van productie niet geïdentificeerd],Unknown
s' Gravenhage,S' Gravenhage
Utrecth?,Utrecth
Deventer,Deventer
Leipzig,Leipzig
Liége,Liége
Maldeghem,Maldeghem
Bâle,Bâle
Milan,Milan
Liège,Liège
"Herdruckt, tot Brussel",Brussel
[Charleroi],Charleroi
Doornik,Doornik
Bruxelles,Bruxelles
Buenos Aires,Buenos Aires
Londres,Londres
Chalons,Chalons
La Haye,La Haye
Lundae,Lundae
Gand,Gand
Soest,Soest
[Brussel?,Brussel
Frankfurt a. M.,Frankfurt A. M
Rennes,Rennes
Lisbonne,Lisbonne
Darmstadt,Darmstadt
[Brussel],Brussel
Dresden,Dresden
