book_id,title
11528967,Anneessens
12021785,The Austin-Topolovampo
22169951,La Logica
11677526,Économie politique et sociale
13249372,Mes souvenirs sur Napoléon
11835009,Calculateur général de la solde proprement dite et de la masse d'habillement
13431121,La Napoliade
12000506,Recherches sur les épopées romanesques des Troubadours
13621021,Histoire de la constitution de la ville de Louvain au moyen âge
22431064,Napoléon III
22318851,Cours de droit civil professé à l'université de Liège
13032985,La France en 1850
11546837,"Etudes sur la vie et les mémoires de Philippe de Commines, Seigneur d'Argenton"
12002043,Nouvelles recherches sur la fête des Innocents et la fête des Fous qui se faisaient dans les églises et notamment dans celle de Sens
22279769,Une ascension aérostatique à Mons
22189337,Les puits artésiens de la Flandre
11488969,The adventures of my grandfather
13398939,Revue des patois gallo-romans
11936293,Château de la Motte-au-Bois
13586687,Die Entstehung des socialen Problems
11765643,Pourquoi un plebiscite?
11817807,Vlaemsche Commissie
11314964,Notice historique sur Zuydcoole
13448678,"L'arithmétique élémentaire, traitée simplement"
12044914,"Memorial of Nahum Capen, of Boston, Massachusetts, on the subject of International Copyright"
11571751,"De twee vondelingen, drama in vijf bedrijven"
11596622,Du pouvoir Spirituel dans ses rapports avec l'état
11963866,Bollendorf et ses environs
22366484,Valores Postales Argentinos
11663948,Réponse d'un démocrate verviétois
12455258,Amante et mère
12170782,Le parfum de Rome
13317549,Physiologie du Robert Macaire
13451181,La question des cuirasses dans la défense des côtes
12738711,Georges Cadoudal et la Chouannerie
12934321,"Vision d'Hebal, Chef d'un Clan Écossais"
11741719,"Souvenirs personnels (1824-1841) et correspondance diplomatique de Joseph Lebeau, publiés avec une préface historique"
13526073,Beiträge zur Morphologie der Amaryllideen
12362320,Les Quatres Coins
22070660,Die Deutscher Mystiker des vierzehnten und fünfzehnten Jahrhunderts
12546849,Lehrbuch der reinen und technischen Chemie
11582928,Der Westbau des Münsters zu Essen
12119326,Het eerste wetenschappelijk onderwijs
11976619,Grammaire Musicale ou Théorie des Principes de Musique
22175409,"Mémoire pour Mr Antoine Rally, gentilhomme Anglais, domicilié a Liège contre Mr Jacques-Bernard-Joseph Bellefroid commissionnaire en fonds et effets"
13457592,Victor Hugo après 1852
12753883,L'archéologie préhistorique
12019566,La Liberté Spirituelle et Traités Religieux
12156751,"Mémoire sur le Zelkoua, Planera Crenata"
13533376,Verslag over de werk-zaamheden gedurende het bestuurjaar 1868-1869
13717119,"Versuch einer Entwicklung der Sprache, Abstammung, Geschichte, Mythologie und bürgerlichen Verhältnisse der Liwen, Lätten, Eesten (...)"
12124632,"De fakkel van het ouden en alleen waer geloof, opgedragen aen den Hoogweirdigsten Heer Mijn Heer Govardus Gerardus Van Eersel, XVI, Bisschop van Gend, Graeve van Everghem ec. ec. ec"
12579754,Le Bresil à l'exposition internationale de St.-Pétersbourg 1884
11679170,"Projet de loi sur les conseils généraux et les conseils municipaux,"
12225332,Histoire du matérialisme et critique de son importance a notre époque
12613533,Sur les Graveurs des Inscriptions Antiques
11706359,Recueil des lois et arrêtés sur les pensions civiles et ecclésiastiques et des arrêtés spéciaux concernant la caisse des pensions des veuves et orphelins des fonctionnaires et employés du Département de l'Intérieur
12973681,"Handboek der Landen Volkenkunde, Geschied-, Taal-, Aardrijksen Staatkunde van Nederlandsch Indie"
12110752,Novum Testamentum Graece
12785901,Catalogo ragionato dei libri di prima Stampa
11787277,"Statistique des Lettres et des Sciences en France, Institution et Etablissemens Littéraires et Scientifiques"
12856835,A propos de la nouvelle vie de Jésus
22209024,L'Intermédiare
11949012,Les expériences de tir de Bucharest
22118173,Die Welt als Wille und Vorstellung
13415064,Recueil des Traités et Conventions conclus par le Royaume des Pays-Bas avec les Puissances étrangères depuis 1813 jusqu'à nos Jours
13437733,De minderjarigheid in haer gansch tydvak voorgedragen
12492120,Sur l'orientation des sépultures franques
12153812,Description des locomotives Stephenson
12333664,"Histoire du Journal ""la Mode"""
11506686,Les armes à feu portatives se chargeant par la culasse
12087013,Classification de 160 Huiles et Graisses Végétales
12225237,La reine Alèna
12996760,"Droit romain des moyens de mettre fin à l'indivision d'une hérédité et des effets du partage, à Rome. Droit français du caractère et des effets du partage dans le droit français, ancien et moderne"
13599034,"Biographie de Jacques Jonghelinck, sculpteur, graveur de sceaux et de medailles, etc."
11631782,Nuova Guida Ovvero Descrizione Storico-Artistico-Critica della Città e Contorni di Firenze
13377992,Mémoires d'anthropologie
13306387,Untersuchungen über die Glaubwürdigkeit der altrömischen Geschichte
12918565,Précis d'histoire contemporaine de Belgique
13713107,La mère de Don Juan
12822354,Traité de la Science des Finances
17581069,Les grandes armoiries du Duc Charles de Bourgogne
12060389,De la peine de mort
11417246,La belgique en dix-huis cent cinquante-deux
11844795,Conseil provincial du Hainaut. Session de 1843
12511497,Les archives départementales du Nord pendant la Révolution
12243063,"Etudes Economiques, Politiques et Littéraires"
12592657,Mémoires de l'Académie Impériale de Médecine
11997678,"Carmen Saeculare Belgicum (1879-1887). Summo Pontifici Leoni XIII, occasione Suae Sanctitatis a sacro presbyteratu anniversarii quinquagesimi oblatum dedicatumque"
22264032,Anvers & la nationalité Belge
11673033,De la suppression du péage de l'Escaut
13223670,Aanteekeningen betreffende eene reis door de Molukken
12576673,Ambroise Paré d'après de nouveaux Documents découverts aux Archives Nationales et des Papiers de Famille
13416832,Dictionnaire de procédure civile et commerciale
13459808,Lo studio generale a Mondovi (1560-1566)
11661571,Inventaire général analytique des archives de la ville et de l'église primaire de Saint-Nicolas (Waes)
11719491,"Commentaire de la loi du 18 avril 1851 sur les faillites, banqueroutes et sursis"
11668121,"De Aftocht van Moscou, of lotgevallen van een Belgisch soldaat in Rusland"
12045242,Bulletin de l'Association littéraire internationale
12597487,Le parc de Bruxelles
12096853,Journal de la Société d'archéologie et du Comité du musée Lorrain
22469572,Leesboekje voor onze vlaamsche scholen
12265260,Élans du coeur
12672180,"Généalogie historique, anecdotique et critique de la maison Du Prat"
12015784,Le codex bruxellensis
11292419,Congrès général d'hygiène de Bruxelles
11773897,Le crime du 4 septembre
11697149,Épilepsie et autres maladies nerveuses
13536860,Une page d'histoire de l'ancien couvent des FF. Mineurs Capucins de Bruges
22266034,D. O. M.
13549607,Oeuvres et correspondance inédites de J. J. Rousseau
13712761,"Joyeuse entrée et inauguration de l'archiduc Charles à Anvers, en 1515"
12910698,Constitution de l'espace céleste
13587933,Catalogue of works of industrie and art sent from Sweden
11330688,Le bienheureux Jean Berchmans de la compagnie de Jésus
12988859,De la Lésion à l'Egard des Mineurs dans le Droit Romain et dans le Droit Français
12079295,Cours d'accouchements
13655350,"Alumni pontificii collegii Urbani de propaganda fide, anno 1859"
11811047,Arthur de Cantorbry et Jules Péronnet
12578124,Histoire du Roi de Rome (Duc de Reichstadt)
13240703,Doctrine de la Nouvelle-Jérusalem sur l'Écriture Sainte
11494340,Exposition des académies et écoles des beaux-arts et congrès de l'enseignement des arts du dessin
12020348,Voltaire au Château de Cirey
13139690,Le Cardinal de Richelieu
11999468,Art poétique d'Horace
12090697,Simples lectures préparant à l'étude de la géographie
12517879,Poésies chrétiennes
11260850,Le prince des prosateurs
12549922,Die Schwestern
12014661,"Livres payés en vente publique 1000fr et au-dessus, Depuis 1866 jusqu'à ce jour aperçu sur la vente Perkins à Londres"
22121160,Memorial addresses on the life and character of Michael Crawford Keer
13123241,Notice sur les travaux scientifiques de M. Oechsner de Coninck
11586432,Société libre d'Émulation de Liège.
11404232,Epitre à Monsieur Bouniol de Saint-Geniez
12021269,The New American Practical Navigator
12030823,"Analyse alphabétique des lois, ordonnances et règlements généraux de police en vigueur en Belgique"
12704852,1815
11536087,Au bagne
13449812,Traité complet de l'anatomie des animaux domestiques
11457009,Guide to Spa
12764605,Sprachlehre um nach Ollendorff's Methode mittelst Selbstunterricht in der fürzeft möglichen Zeit (...)
13654349,A roll of the graduates of the University of Glasgow from 31st December 1727 to 31st December 1897
12740989,Traité de la génération des animaux
12612067,Collégiale de Sainte Pharaïlde à Gand
12245718,Notice sur deux monuments anciens
13601423,Rembrandt Harmens Van Rijn
13213333,Registers op het archief
12336744,Certamen literario que para conmemorar el segundo centanario del fallecimiento del dramatico insigne D. Pedro Calderon de la Barca celebraron la Universidad de Barcelona y el instituto provincial de 2.a enseñanza el dia 25 de Mayo 1881
11707170,Muséum des sciences naturelles de Lyon
13741360,Cazin
13107841,Lettres sur L'Adriatique et le Monténégro
13000354,Bibliothèque archéologique
12129740,La guerre privée dans le comté de Hainaut aux treizième et quatorzième siècles
12378483,"Ceremonies des gages de bataille, selon l'ordonnance de Philippe le Bel"
13657181,On the historical antiquity of the people of Egypt
12059872,The debate on the motion for the second reading of the bill on Capital Punishment abolition
22221437,Le protectionnisme
13490755,Handlerifon zu den Quellen des römischen Rechts
13684419,Contes et nouvelles de La Fontaine
12021738,Table of land grant railroads
11792123,Réclamation contre les décrèts sur l'exercice de la police extérieure des cultes présentée à l'Administration centrale du département des deux Nèthes par les curés d'Anvers
11299321,Poésies champêtres d'Horace
13410515,Histoire des corps de troupe
11428290,Rapport sur une communication de documents
11306007,Oeuvres de Vergniaud - Guadet - Gensonné
11664535,Cartulaire de Saint-Vallier
13010298,Das Theseion und der Tempel des Ares in Athen
13081040,"Das ehemalige Spitalzum h. Jacob, nachher klarissen Kloster"
13703077,Handbuch der deutschen Mythologie mit Einschluss der nordischen
11629007,"Analyse et Extraits de Quelques Pièces des Meilleurs Auteurs Dramatiques Français, suivis d'Esther et d'Athalie"
13053049,Systematische beschrijving der dieren
13492907,Dictionnaire grec-français
13444966,Richard von St Victor und Joannes Ruysbroek
13578583,Geologische Beschrijving van Java en Madoera
11651270,L'Australasie
13303922,Beknopte natuurgeschiedenis (dier- en plantenkunde)
12976669,Katalog des Königl rheinischen Museums vaterländischer Alterthümer
12507840,Beitrag zu einer wissenschaftlichen Grundlage für etymologische Untersuchungen auf dem Gebiete der französischen Sprache
12667259,Moedertaal
12636650,Oras completas
13122346,Triton und Euphemos oder die Argonauten in Lybien
12091637,La grande Catherine
12088160,Pierre Gringore et les Comédiens Italiens
11994276,Andrée
12226629,"Lectures choisies. La Belgique pittoresque, monumentale et littéraire"
12303599,Réponse à l'examen critique de M. Stanislas Julien
13298512,Guide médical des Antilles et des régions intertropicales
12859097,Les agrandissements d'Anvers en 1549
13263380,Dinamo-magnetometro
12894350,De l'architecture contemporaine
12526269,Adolphe
11565633,Leçons de Choses en Français et en Néerlandais / Aanschouwelijke Lessen in het Fransch en in het Nederlandsch
12024234,Geschiedenis van de Gelukzalige Margaretha-Maria en den Oorsprong der Devotie tot Jesus' Hart
12680988,Syntaxe latine abrégée
15097212,"Discours Adressé à Messeigneurs les Etats du Brabant, en leur Assemblée. Le 17 juillet 1787"
13392001,Bibliotheca Lindesiana
13025659,Vita di S. Luigi Gonzaga della Compagnia di Gesu
12035742,Anathème à la Guerre!
12281486,Catalogo da Bibliotheca Municipal
12748520,La nationalité des Ubiens
13033181,Socialisme égalitaire
11330764,Recueil de Jurisprudence Notariale
12726469,History of the regency and reign King George the fourth
11884002,La Caverna ossifera di Frasassi
